title,category,release
Niji no Silkroad,Role-Playing,"Feb 22, 1991"
Ninja Crusaders,2D Platformer,December 1990
Ninja Gaiden,2D Platformer,March 1989
Ninja Gaiden II: The Dark Sword of Chaos,2D Platformer,May 1990
Ninja Gaiden III: The Ancient Ship of Doom,2D Platformer,August 1991
Ninja Jajamaru Kun,2D Platformer,"Nov 15, 1985"
Ninja Jajamaru: Ginga Daisakusen,Action,"Mar 29, 1991"
Ninja Kid,2D Platformer,"Oct 29, 1986"
Nintendo World Championships 1990,Compilation,1990
Nintendo World Cup,Soccer,December 1990
Nishimura Kyoutarou Mystery: Blue Train Satsujin Jiken,Adventure,"Jan 20, 1989"
Nishimura Kyoutarou Mystery: Super Express Satsujin Jiken,Adventure,"Mar  2, 1990"
Nobunaga's Ambition,Historic Turn-Based Strategy,June 1989
Nobunaga's Ambition II,Historic Turn-Based Strategy,April 1991
North and South,Historic Real-Time Strategy,December 1990
Nuts & Milk,Puzzle,"Jul 28, 1984"
Oeka Kids: Anpanman no Hiragana Daisuki,Miscellaneous,"Mar 26, 1991"
Oeka Kids: Anpanman to Oekaki Shiyou!!,Miscellaneous,"Oct 25, 1990"
Oishinbo: Kyukyoku no Menu 3bon Syoubu,Adventure,"Jul 25, 1989"
Operation: Secret Storm,Action,1992
Operation Wolf,Light Gun Shooter,May 1989
Orb 3-D,Action,October 1990
Othello,Board,December 1988
Othello (HES),Board,1988
Outlanders,Action Role-Playing,"Dec  4, 1987"
Over Horizon,Shoot-'Em-Up,1991
Overlord,Strategy,January 1993
P'radikus Conflict,Action,1990
P.O.W.: Prisoners of War,Beat-'Em-Up,September 1989
Paaman: Enban o Torikaese,Action,"Dec 14, 1990"
Pac-Land,Action,"Nov 21, 1985"
Pac-Man,Action,November 1993
Pac-Man (Tengen),Puzzle,1987
Pac-Mania,Action,1991
Palamedes,Puzzle,November 1990
Panic Restaurant,2D Platformer,October 1992
Paperboy,Action,December 1988
Paperboy 2,Action,April 1992
Parasol Henbee,2D Platformer,"Feb 15, 1991"
Parasol Stars: Rainbow Islands II,2D Platformer,1991
Paris-Dakar Rally Special!,Rally / Offroad Racing,"Feb  1, 1988"
Parodius Da!,Shoot-'Em-Up,1992
Peek A Boo Poker,Casino,1991
Perfect Bowling,Bowling,"Jul 25, 1989"
Pescatore,Puzzle,Canceled
Pesterminator: The Western Exterminator,Action,1990
Fox's Peter Pan & the Pirates: The Revenge of Captain Hook,2D Platformer,January 1991
Phantom Fighter,Action,April 1990
Hikari no Senshi Photon: The Ultimate Game on Planet Earth,Shoot-'Em-Up,"Aug 28, 1987"
Pictionary,Board,July 1990
Pinball,Pinball,"Oct 18, 1985"
Pinball Quest,Pinball,June 1990
Pinbot,Pinball,April 1990
Pipe Dream,Puzzle,September 1990
Pipemania,Puzzle,1991
Pirates!,Strategy,October 1991
Plasma Ball,Action,"Mar 27, 1992"
Platoon,Action,December 1988
Poke Block,Stacking Puzzle,Canceled
Poker Mahjong,Casino,1991
Pooyan,Shoot-'Em-Up,"Sep 20, 1985"
Popeye,2D Platformer,June 1986
Popeye no Eigo Asobi,Edutainment,"Nov 22, 1983"
Porter,Action Puzzle,1991
Portopia Renzoku Satsujin Jiken,Adventure,"Nov 29, 1985"
Power Blade,2D Platformer,March 1991
Power Blade 2,2D Platformer,October 1992
Power Punch II,Boxing,June 1992
Power Soccer,Soccer,"Mar 30, 1990"
Predator,Action,April 1989
Prince of Persia,2D Platformer,November 1992
Princess Tomato in the Salad Kingdom,Adventure,February 1991
Pro Sport Hockey,Ice Hockey,November 1993
Pro Wrestling,Wrestling,March 1987
Pro Yakyuu? Satsujin Jiken!,Adventure,"Dec 24, 1988"
Punch-Out!!,Boxing,August 1990
The Punisher,Sci-Fi First-Person Shooter,November 1990
Puss 'N Boots: Pero's Great Adventure,2D Platformer,June 1990
Puzzle,Puzzle,1990
Puzznic,Matching Puzzle,November 1990
Pyramid,Puzzle,1992
Q*bert,Action,February 1989
Qix,Puzzle,January 1991
Quarth,Puzzle,"Apr 13, 1990"
Quattro Adventure,Compilation,1991
Quattro Arcade,Compilation,1992
Quattro Sports,Sports,1991
Quiz Project Q: Cutie Project & Battle 10000,Trivia / Game Show,"May 29, 1992"
R.B.I. Baseball,Baseball Sim,1988
R.B.I. Baseball 2,Baseball Sim,1990
R.B.I. Baseball 3,Baseball Sim,1991
R.C. Pro-Am,Racing,February 1988
R.C. Pro-Am II,Racing,December 1992
Race America,Racing,May 1992
Racer Mini Yonku: Japan Cup,Board,"Aug 25, 1989"
Racket Attack,Tennis,October 1988
Rackets & Rivals,Tennis,1993
Rad Racer,Racing,October 1987
Rad Racer II,Racing,June 1990
Rad Racket: Deluxe Tennis II,Tennis,1991
Radia Senki: Reimeihen,Action Role-Playing,"Nov 15, 1991"
Raid 2020,Action,1989
Raid on Bungeling Bay,Shoot-'Em-Up,September 1987
Rainbow Islands,2D Platformer,June 1991
Rainbow Islands: Bubble Bobble 2,2D Platformer,1991
Rally Bike,Motorcycle Racing,September 1990
Rambo,2D Platformer,May 1988
Rampage,Action,December 1988
Rampart,Action,January 1992
Rampart (Japan),Puzzle,"Nov 29, 1991"
Recca,Shoot-'Em-Up,"Jul 17, 1992"
Remote Control,Trivia / Game Show,May 1990
The Ren & Stimpy Show: Buckaroo$!,Action,November 1993
Renegade,Beat-'Em-Up,January 1988
Rescue: The Embassy Mission,Modern Tactical Shooter,January 1990
Ring King,Boxing,September 1987
River City Ransom,Beat-'Em-Up,January 1990
Road Fighter,Racing,"Jun 18, 1992"
Road Runner,Action,1989
RoadBlasters,Racing,January 1990
Robin Hood: Prince of Thieves,Historic Action Adventure,November 1991
Robo Warrior,Action,December 1988
RoboCop,Shoot-'Em-Up,December 1989
RoboCop 2,2D Platformer,April 1991
RoboCop 3,2D Platformer,August 1992
RoboCop Versus The Terminator,2D Platformer,Canceled
Robodemons,Action,December 1989
Rock 'n Ball,Pinball,January 1990
Rockball,Action,1993
Rocket Ranger,Action,June 1990
The Rocketeer,2D Platformer,May 1991
Rockin' Kats,2D Platformer,September 1991
Roger Clemens' MVP Baseball,Baseball,October 1991
Rokudenashi Blues,Adventure,"Oct 29, 1993"
Rollerball,Pinball,February 1990
Rollerblade Racer,Skating,February 1993
Rollergames,Beat-'Em-Up,September 1990
Rolling Thunder,Shoot-'Em-Up,1989
Romance of the Three Kingdoms,Historic Turn-Based Strategy,October 1989
Romance of the Three Kingdoms II,Historic Turn-Based Strategy,September 1991
Roundball 2-on-2 Challenge,Basketball,May 1992
RPG Jinsei Game,Board,"Nov 26, 1993"
Rush'n Attack,2D Platformer,April 1987
Rygar,2D Platformer,July 1987
S.C.A.T.: Special Cybernetic Attack Team,Shoot-'Em-Up,June 1991
Saint Seiya: Ougon Densetsu,Role-Playing,1987
Saint Seiya: Ougon Densetsu Kanketsu Hen,Role-Playing,"May 30, 1988"
San Goku Shi II: Haou no Tairiku,Strategy,"Jun 10, 1992"
San Goku Shi: Chuugen no Hasha,Strategy,"Jul 29, 1988"
Sanrio Carnival,Puzzle,"Nov 22, 1990"
Sanrio Carnival 2,Puzzle,"Jan 14, 1993"
SD Gundam World: Gachapon Senshi 2 - Capsule Senki,Sci-Fi Turn-Based Strategy,"Jun 25, 1989"
SD Gundam World Gachapon Senshi 3: Eiyuu Senki,Sci-Fi Turn-Based Strategy,"Dec 22, 1990"
SD Gundam World Gachapon Senshi 4: New Type Story,Sci-Fi Turn-Based Strategy,"Dec 21, 1991"
SD Gundam World Gachapon Senshi 5: Battle of Universal Century,Sci-Fi Turn-Based Strategy,"Dec 22, 1992"
SD Gundam Gaiden: Knight Gundam Monogatari,Role-Playing,"Aug 11, 1990"
SD Gundam Gaiden: Knight Gundam Monogatari 2 - Hikari no Kishi,Role-Playing,"Oct 12, 1991"
SD Gundam Gaiden: Knight Gundam Monogatari 3 - Densetsu no Kishi Dan,Role-Playing,"Oct 23, 1992"
SD Gundam: Gundam Wars,Sci-Fi Turn-Based Strategy,"Apr 23, 1993"
SD Hero Soukessen: Taose! Aku no Gundan,2D Platformer,"Jul  7, 1990"
Sea of Dreamland,Shoot-'Em-Up,1992
Secret Scout in the Temple of Demise,Action,1991
Section-Z,Shoot-'Em-Up,July 1987
Seicross,Shoot-'Em-Up,October 1988
Sesame Street: 123,Edutainment,January 1989
Sesame Street: ABC,Edutainment,September 1989
Sesame Street: ABC/123,Edutainment,November 1991
Sesame Street: Big Bird's Hide & Speak,Puzzle,October 1990
Sesame Street: Countdown,Edutainment,February 1992
Shadow Brain,Role-Playing,"Mar 21, 1991"
Shadow of the Ninja,2D Platformer,December 1990
Shadowgate,Adventure,December 1989
Shanghai,Puzzle,"Dec  4, 1987"
Shanghai II,Puzzle,"Aug 24, 1990"
Shatterhand,2D Platformer,December 1991
Sheng Hen Pao,Casino,1988
Sherlock Holmes: Hakushaku Reijou Yuukai Jiken,Action,"Dec 11, 1986"
Shin Moero!! Pro Yakyuu,Baseball Sim,"Jul 27, 1989"
Shingen the Ruler,Strategy,June 1990
Shinobi,2D Platformer,1989
Shockwave,Puzzle,1990
Shogi Meikan '92,Board,"Jan 30, 1992"
Shogun,Strategy,"May 27, 1988"
Shooting Range,Light Gun Shooter,June 1989
Short Order / Eggsplode,Action,December 1989
Shounen Ashibe: Nepal Daibouken no Maki,Adventure,"Nov 15, 1991"
Shuffle Fight,Board,"Oct  9, 1992"
Shufflepuck Cafe,Action,"Oct 21, 1990"
Side Pocket,Billiards,June 1987
Silent Assault,2D Platformer,1990
Silent Service,Submarine Sim,December 1989
Silkworm,Shoot-'Em-Up,June 1990
Silver Surfer,Shoot-'Em-Up,November 1990
The Simpsons: Bart vs. the Space Mutants,2D Platformer,February 1991
The Simpsons: Bart vs. the World,2D Platformer,December 1991
The Simpsons: Bartman Meets Radioactive Man,2D Platformer,December 1992
Skate Or Die 2: The Search for Double Trouble,Skateboarding,September 1990
Skate Or Die!,Skateboarding,December 1988
Ski or Die,Alt. Sports,February 1991
Skull & Crossbones,Action,1990
Sky Destroyer,Shoot-'Em-Up,"Nov 14, 1985"
Sky Kid,Action,September 1987
Sky Shark,Shoot-'Em-Up,September 1989
Slalom,Skiing,August 1987
Smash T.V.,Shoot-'Em-Up,September 1991
The Smurfs,2D Platformer,1994
Snake Rattle 'n Roll,Action,July 1990
Snake's Revenge,Modern Action Adventure,April 1990
Snoopy's Silly Sports Spectacular!,Sports,April 1990
Snow Brothers,2D Platformer,November 1991
Soccer,Soccer Sim,March 1987
Soccer League - Winner's Cup,Soccer Sim,"Aug 12, 1988"
Solar Jetman: Hunt for the Golden Warpship,Action,September 1990
Solitaire,Board,1992
Solomon's Key,Puzzle,July 1987
Solstice: The Quest for the Staff of Demnos,Puzzle,June 1990
Soreike! Anpanman: Minna de Hiking Game!,Board,"Mar 20, 1992"
Space Harrier,Shoot-'Em-Up,"Jan  6, 1989"
Space Invaders,Shoot-'Em-Up,"Apr 17, 1985"
Space Shadow,Light Gun Shooter,"Feb 15, 1989"
Space Shuttle Project,Action,November 1991
Spelunker,Action,September 1987
Spelunker II: Yuushahe no Chousen,Action Role-Playing,"Sep 18, 1987"
Spider-Man: Return of the Sinister Six,2D Platformer,October 1992
Spiritual Warfare,Action,1992
Splatterhouse: Wanpaku Graffiti,Action,"Jul 31, 1989"
Spot: The Video Game,Puzzle,September 1990
Spy Hunter,Racing,September 1987
Spy vs. Spy,Action,October 1988
Sqoon,Shoot-'Em-Up,September 1987
Stack-Up,Action,"Oct 18, 1985"
Stadium Events,Olympic Sports,September 1987
Stanley: The Search for Dr. Livingston,Adventure,October 1992
Star Force,Shoot-'Em-Up,November 1987
Star Luster,Space Combat Sim,"Dec  6, 1985"
Star Soldier,Shoot-'Em-Up,January 1989
Star Trek: 25th Anniversary,Adventure,February 1992
Star Trek V: The Final Frontier,2D Platformer,Canceled
Star Trek: The Next Generation,Action,September 1993
Star Voyager,Action,September 1987
Star Wars,2D Platformer,November 1991
Star Wars: The Empire Strikes Back,2D Platformer,March 1992
Starship Hector,Shoot-'Em-Up,June 1990
StarTropics,Modern Action Adventure,December 1990
Stealth ATF,Jet Sim,October 1989
Stinger,Shoot-'Em-Up,September 1987
Strategist,Wargame,1991
Street Cop,Beat-'Em-Up,June 1989
Street Fighter 2010: The Final Fight,Beat-'Em-Up,September 1990
Street Heroes,2D Fighting,1995
Strider,2D Platformer,July 1989
Strike Wolf,Light Gun Shooter,1992
Stunt Kids,Motocross Racing,1992
Sugoro Quest: Dice no Senshi Tachi,Board,"Jun 28, 1991"
Sunday Funday: The Ride,2D Platformer,1995
Super Black Onyx,Role-Playing,"Jul 14, 1988"
Super C,Shoot-'Em-Up,April 1990
Super Cars,Racing,February 1991
Super Dodge Ball,Sports,June 1989
Super Glove Ball,Action,October 1990
Super Jeopardy!,Trivia / Game Show,September 1991
Super Mario Bros.,2D Platformer,"Oct 18, 1985"
Super Mario Bros. / Duck Hunt,Compilation,November 1988
Super Mario Bros. / Duck Hunt / World Class Track Meet,Compilation,December 1990
Super Mario Bros. / Tetris / Nintendo World Cup,Compilation,November 1988
Super Mario Bros. 2,2D Platformer,October 1988
Super Mario Bros. 3,2D Platformer,"Feb 12, 1990"
Super Maruo,Action,December 1986
Super Pinball,Pinball,"Aug 23, 1988"
Super Pitfall,2D Platformer,November 1987
Super Real Baseball '88,Baseball Sim,"Jul 30, 1988"
Super Spike V'Ball,Volleyball,February 1990
Super Spike V'Ball / Nintendo World Cup,Compilation,December 1990
Super Sprint,Racing,1989
Super Spy Hunter,Racing,February 1992
Super Star Pro Wrestling,Wrestling,"Dec  9, 1989"
Super Team Games,Olympic Sports,November 1988
Super Turrican,2D Platformer,"Jul 22, 1993"
Super Xevious: Ganpu no Nazo,Shoot-'Em-Up,"Sep 19, 1986"
Superman,2D Platformer,December 1988
Swamp Thing,2D Platformer,December 1992
Sweet Home,Role-Playing,"Dec 15, 1989"
Sword Master,2D Platformer,January 1992
Swords and Serpents,Role-Playing,August 1990
T&C Surf Designs: Thrilla's Surfari,Action,March 1992
T&C Surf Designs: Wood & Water Rage,Alt. Sports,February 1988
Taboo: The Sixth Sense,Miscellaneous,April 1989
Tag Team Wrestling,Wrestling,October 1986
Tagin' Dragon,Action,1989
Taito Chase H.Q.,Mission-based Driving,"Dec  8, 1989"
Taito Grand Prix: Eikou e no License,Formula One Racing,"Dec 18, 1987"
Taiyou no Yuusha Fighbird,Shoot-'Em-Up,"Jan 11, 1992"
Takahashi Meijin no Bouken Jima IV,2D Platformer,"Jun 24, 1994"
Takeshi no Chousenjou,Adventure,"Dec 10, 1986"
Disney's TaleSpin,Shoot-'Em-Up,December 1991
Tanigawa Kouji no Shogi Shinan III,Board,"Sep 14, 1989"
Tantei Jinguuji Saburo: Yokohama Minato Renzoku Satsujin Jiken,Adventure,"Feb 26, 1988"
Target: Renegade,Beat-'Em-Up,March 1990
Tashiro Masashi no Princess ga Ippai,2D Platformer,"Oct 27, 1989"
Tecmo Baseball,Baseball Sim,January 1989
Tecmo Bowl,Football,February 1989
Tecmo Cup Soccer Game,Soccer Sim,September 1992
Tecmo NBA Basketball,Basketball Sim,November 1992
Tecmo Super Bowl,Football Sim,December 1991
Tecmo World Cup Soccer,Soccer Sim,1991
Tecmo World Wrestling,Wrestling,April 1990
Teenage Mutant Ninja Turtles,2D Platformer,June 1989
Teenage Mutant Ninja Turtles II: The Arcade Game,Beat-'Em-Up,December 1990
Teenage Mutant Ninja Turtles III: The Manhattan Project,Beat-'Em-Up,February 1992
Teenage Mutant Ninja Turtles: Tournament Fighters,2D Fighting,February 1994
Tenchi o Kurau II: Shokatsu Koumei Den,Role-Playing,"Apr  5, 1991"
Tennis,Tennis,October 1985
Terao no Dosukoi Oozumou,Sports,"Nov 24, 1989"
Terminator 2: Judgment Day,2D Platformer,February 1992
The Terminator,Action,December 1992
Terra Cresta,Shoot-'Em-Up,March 1990
Tetra Star: The Fighter,Shoot-'Em-Up,"May 24, 1991"
Tetris,Stacking Puzzle,November 1989
Tetris (BPS),Puzzle,"Dec 22, 1988"
Tetris (Tengen),Stacking Puzzle,1989
Tetris 2,Stacking Puzzle,October 1993
Tetris 2 + Bombliss,Stacking Puzzle,"Dec 13, 1991"
Tetsudou-Oh,Board,"Dec 12, 1987"
Thexder,Shoot-'Em-Up,"Dec 19, 1985"
The Three Stooges,Action,October 1989
Thunder & Lightning,Action,December 1990
Thunder Blaster Man,2D Platformer,1995
Thunder Warrior,2D Platformer,1992
Thunderbirds,Shoot-'Em-Up,September 1990
Thundercade,Shoot-'Em-Up,July 1989
Tiger-Heli,Shoot-'Em-Up,September 1987
Tiles of Fate,Puzzle,1990
Time Diver: Eon Man,2D Platformer,Cancelled
Time Lord,Action,September 1990
Times of Lore,Action Role-Playing,May 1991
Tiny Toon Adventures,2D Platformer,December 1991
Tiny Toon Adventures 2: Trouble in Wackyland,2D Platformer,April 1993
Tiny Toon Adventures: Cartoon Workshop,Miscellaneous,December 1992
Titan Warriors,Shoot-'Em-Up,Cancelled
TM Network Live in Power Bowl,Adventure,"Dec 22, 1989"
To the Earth,Light Gun Shooter,November 1989
Toki,2D Platformer,December 1991
Toki no Tabibito: Time Stranger,Adventure,"Dec 26, 1986"
Tom & Jerry: The Ultimate Game of Cat and Mouse!,2D Platformer,December 1991
Tombs & Treasure,Role-Playing,June 1991
Toobin',Action,1989
Top Gun,Jet Sim,November 1987
Top Gun: The Second Mission,Jet Sim,January 1990
Top Players Tennis,Tennis,January 1990
Total Funpak,Compilation,1990
Total Recall,2D Platformer,August 1990
Totally Rad,2D Platformer,March 1991
Touch Down Fever,Football Sim,February 1991
Toxic Crusaders,Beat-'Em-Up,April 1992
Track & Field,Olympic Sports,April 1987
Track & Field II,Olympic Sports,June 1989
Transformers: Convoy no Nazo,2D Platformer,"Dec  5, 1986"
Treasure Master,Action,December 1991
Trog!,Action,October 1991
Trojan,2D Platformer,February 1987
The Trolls in Crazyland,2D Platformer,1991
Trolls on Treasure Island,Action Puzzle,1994
Tsuru Pikahage Maru: Mezase! Tsuruseko no Akashi,Action,"Dec 13, 1991"
Twin Cobra,Shoot-'Em-Up,January 1990
Twin Eagle,Shoot-'Em-Up,October 1989
TwinBee,Shoot-'Em-Up,"Jan  4, 1986"
TwinBee 3: Poko Poko Dai Maou,Shoot-'Em-Up,"Sep 29, 1989"
Uchuu Keibitai SDF,Shoot-'Em-Up,"Sep  7, 1990"
Uchuusen Cosmo Carrier,Strategy,"Nov  6, 1987"
U-four-ia: The Saga,2D Platformer,"Nov 19, 1992"
Ultima: Exodus,Computer Role-Playing,February 1989
Ultima: Quest of the Avatar,Computer Role-Playing,December 1990
Ultima: Warriors of Destiny,Computer Role-Playing,January 1993
Ultimate Air Combat,Jet Sim,April 1992
Ultimate Basketball,Basketball Sim,September 1990
Ultimate Frogger Champion,Action,2009
Ultimate League Soccer,Soccer,1992
The Ultimate Stuntman,Action,1990
The Uncanny X-Men,Action,December 1989
Uncharted Waters,Strategy,November 1991
Uninvited,Adventure,June 1991
The Untouchables,Action,January 1991
Urban Champion,2D Fighting,June 1986
Utsurun Desu.: Kawauso Hawaii e Iku,2D Platformer,"Mar  6, 1992"
Valkyrie no Bouken: Toki no Kagi Densetsu,Action Role-Playing,"Aug  1, 1986"
Vegas Connection: Casino Kara Ai o Komete,Casino,"Nov 24, 1989"
Vegas Dream,Casino,March 1990
Venice Beach Volleyball,Volleyball,1991
Vice: Project Doom,Action,November 1991
Videomation,Miscellaneous,June 1991
Vindicators,Action,1988
Volleyball,Volleyball,March 1987
Wacky Races,2D Platformer,May 1992
Wagyan Land,2D Platformer,"Feb  9, 1989"
Wai Wai World,2D Platformer,"Jan 14, 1988"
Wai Wai World 2: SOS!! Paseri Jou,2D Platformer,"Jan  5, 1991"
Wall Street Kid,Business Strategy,June 1990
Wally Bear and the NO! Gang,Action,1992
War in the Gulf,Shoot-'Em-Up,January 1991
Wario's Woods,Puzzle,"Dec 10, 1994"
Warpman,Action,"Jul 12, 1985"
Wayne Gretzky Hockey,Ice Hockey Sim,January 1991
Wayne's World,Action,November 1993
WCW World Championship Wrestling,Wrestling,April 1990
Werewolf: The Last Warrior,2D Platformer,November 1990
Wheel of Fortune,Trivia / Game Show,September 1988
Wheel of Fortune: Family Edition,Trivia / Game Show,March 1990
Wheel of Fortune: Featuring Vanna White,Trivia / Game Show,January 1992
Wheel of Fortune: Junior Edition,Trivia / Game Show,October 1989
Where in Time is Carmen Sandiego?,Puzzle,October 1991
Where's Waldo?,Puzzle,September 1991
Who Framed Roger Rabbit,Action,September 1989
Whomp 'Em,2D Platformer,March 1991
Widget,2D Platformer,November 1992
Wild Gunman,Light Gun Shooter,October 1985
Willow,Action Role-Playing,December 1989
Wily and Light no Rock Board: That's Paradise,Board,"Jan 15, 1993"
"Win, Lose or Draw",Puzzle,March 1990
Winter Games,Olympic Sports,September 1987
Wizardry II: Legacy of Llylgamyn - The Third Scenario,Role-Playing,"Feb 21, 1989"
Wizardry: Knight of Diamonds - The Second Scenario,Role-Playing,April 1992
Wizardry: Proving Grounds of the Mad Overlord,Role-Playing,July 1990
Wizards & Warriors,2D Platformer,December 1987
Wizards & Warriors III: Kuros: Visions of Power,Fantasy Action Adventure,March 1992
Wolverine,Action,October 1991
World Champ,Boxing,April 1991
World Games,Sports,March 1989
The World of Card Games,Casino,1990
Worm Visitor,Action,1992
Wrath of the Black Manta,2D Platformer,April 1990
Wrecking Crew,2D Platformer,October 1985
Wurm: Journey to the Center of the Earth,2D Platformer,November 1991
WWF King of the Ring,Wrestling,November 1993
WWF WrestleMania,Wrestling,January 1989
WWF Wrestlemania Challenge,Wrestling,November 1990
WWF Wrestlemania: Steel Cage Challenge,Wrestling,September 1992
Xenophobe,Action,December 1988
Xevious,Shoot-'Em-Up,September 1988
Xexyz,2D Platformer,April 1990
Yamamura Misa Suspense: Kyouto Hana no Misshitsu Satsujin Jiken,Adventure,"Feb 11, 1989"
Yamamura Misa Suspense: Kyouto Ryuu no Tera Satsujin Jiken,Adventure,"Dec 11, 1987"
Yamamura Misa Suspense: Kyouto Zaiteku Satsujin Jiken,Adventure,"Nov  2, 1990"
Yie Ar Kung Fu,2D Fighting,"Apr 22, 1985"
Yo! Noid,2D Platformer,November 1990
Yoshi,Puzzle,June 1992
Yoshi's Cookie,Puzzle,April 1993
Youkai Douchuuki,Action,"Jun 24, 1988"
The Young Indiana Jones Chronicles,Action,December 1992
Ys,Action Role-Playing,"Aug 26, 1988"
Ys II,Action Role-Playing,"May 25, 1990"
Yume Penguin Monogatari,2D Platformer,"Jan 25, 1991"
Yuu Yuu Hakusho: Bakutou Ankoku Bujutsu Kai,2D Fighting,"Oct 22, 1993"
Zanac,Shoot-'Em-Up,October 1987
Zelda II: The Adventure of Link,Action Role-Playing,December 1988
Zen: Intergalactic Ninja,2D Platformer,March 1993
Zippy Race,Racing,"Jul 18, 1985"
Zoda's Revenge: Star Tropics II,Modern Action Adventure,March 1994
Zoids 2: Zenebasu no Gyakushuu,Role-Playing,"Jan 27, 1989"
Zoids: Chuuou Tairiku no Tatakai,Action Role-Playing,"Sep  5, 1987"
Zoids: Mokushiroku,Strategy,"Dec 21, 1990"
Zombie Hunter,Action Role-Playing,"Jul  3, 1987"
Zombie Nation,Shoot-'Em-Up,September 1991
